,Forecast,Lower CI,Upper CI
2018-01-31,43779.92,14522.28,73037.57
2018-02-28,34645.62,315.29,68975.94
2018-03-31,70715.34,34267.28,107163.39
2018-04-30,54275.32,16647.52,91903.12
2018-05-31,62701.49,24256.92,101146.06
2018-06-30,63612.26,24510.15,102714.37
2018-07-31,59720.26,20037.09,99403.43
2018-08-31,68048.35,27823.71,108272.98
2018-09-30,98285.87,57541.84,139029.9
2018-10-31,82608.13,41357.92,123858.34
2018-11-30,117466.75,75718.67,159214.83
2018-12-31,102350.01,60109.38,144590.64
